"TEAM","X.","NAME","POSITION","BATS","THROWS","YR","STATUS","HEIGHT","WEIGHT","HOMETOWN","URL","SEASON","bbref_id","birth_date","LastName","FirstName","Name_","bbref_link"
"Schaumburg Boomers",33,"Aaron Glickstein","RHP","R","R","Exp-2","Active","5'11",213,"Dix Hills, NY","https://frontierleague.com/sports/bsb/2023-24/players/aaronglicksteinqpdo",2024,"glicks000aar",9969,"Glickstein","Aaron","Aaron Glickstein","/register/player.fcgi?id=glicks000aar"
"Schaumburg Boomers",11,"Aaron Simmons","UT","L","R","Pro-2","Active","5'9",190,"Franklin, WI","https://frontierleague.com/sports/bsb/2023-24/players/aaronsimmonszcoa",2024,"simmon002aar",,"Simmons","Aaron",,"/register/player.fcgi?id=simmon002aar"
"Schaumburg Boomers",7,"Alec Craig","IF","L","R","Exp-2","Active","5'9",175,"Sicklerville, NJ","https://frontierleague.com/sports/bsb/2023-24/players/aleccraigi563",2024,"craig-000ale",9736,"Craig","Alec","Alec Craig","/register/player.fcgi?id=craig-000ale"
"Schaumburg Boomers",22,"Allante Hall","C","R","R","Pro-1","Active","6'0",220,"Blue Springs, MO","https://frontierleague.com/sports/bsb/2023-24/players/allantehallx7zj",2024,"hall--000all",,"Hall","Allante",,"/register/player.fcgi?id=hall--000all"
"Schaumburg Boomers",9,"Andrew Sojka","OF","L","R","Pro-1","Active","6'2",210,"Huntington Beach, CA","https://frontierleague.com/sports/bsb/2023-24/players/andrewsojkakt8m",2024,,,,,,
"Schaumburg Boomers",36,"Anthony Calarco","INF","L","R","Pro-1","Active","6'4",220,"Wilmette, IL","https://frontierleague.com/sports/bsb/2023-24/players/anthonycalarco7cbf",2024,,,,,,
"Schaumburg Boomers",31,"Antonio Frias","LHP","L","L","Pro-2","Active","5'9",200,"Panama City, Panama","https://frontierleague.com/sports/bsb/2023-24/players/antoniofrias9rrf",2024,"frias-000ant",10065,"Frias","Antonio","Antonio Frias","/register/player.fcgi?id=frias-000ant"
"Schaumburg Boomers",91,"Brendan Knoll","RHP","R","R","Pro-1","Inactive","6'0",215,"Kasson, MN","https://frontierleague.com/sports/bsb/2023-24/players/brendanknollmtkv",2024,"knoll-000bre",,"Knoll","Brendan",,"/register/player.fcgi?id=knoll-000bre"
"Schaumburg Boomers",6,"Brett Milazzo","OF","L","L","Exp-2","Active","5'8",170,"Huntley, IL","https://frontierleague.com/sports/bsb/2023-24/players/brettmilazzof3wy",2024,"milazz000bre",9229,"Milazzo","Brett","Brett Milazzo","/register/player.fcgi?id=milazz000bre"
"Schaumburg Boomers",94,"Cameron Zunkel","RHP","L","R","Pro-1","Inactive","6'0",205,"Lombard, IL","https://frontierleague.com/sports/bsb/2023-24/players/cameronzunkelffow",2024,,,,,,
"Schaumburg Boomers",15,"Chase Dawson","OF","L","R","Exp-2","Active","5'9",185,"Chesterton, IN","https://frontierleague.com/sports/bsb/2023-24/players/chasedawson0peg",2024,"dawson003cha",10024,"Dawson","Chase","Chase Dawson","/register/player.fcgi?id=dawson003cha"
"Schaumburg Boomers",3,"Christian Fedko","UT","R","R","Pro-2","Active","5'9",180,"Gibsonia, PA","https://frontierleague.com/sports/bsb/2023-24/players/christianfedkoiyqz",2024,"fedko-000chr",10387,"Fedko","Christian","Christian Fedko","/register/player.fcgi?id=fedko-000chr"
"Schaumburg Boomers",17,"Cole Cook","LHP","L","L","Exp-2","Active","6'0",205,"Washington, IL","https://frontierleague.com/sports/bsb/2023-24/players/colecookraxg",2024,"cook--002col",10049,"Cook","Cole","Cole Cook","/register/player.fcgi?id=cook--002col"
"Schaumburg Boomers",29,"Cole Stallings","RHP","R","R","Pro-1","Injured","6'2",205,"Lithia, FL","https://frontierleague.com/sports/bsb/2023-24/players/colestallingsphfy",2024,,,,,,
